rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
65,Villanova,BE,17-16,112.6438823,43,100.4854123,94,0.788100934,65,17,16,10,10,10-Oct,0.697539624,0.608046209,0.750173033,0.697539624,0.608046209,0.750173033,0.70257584,0.781323844,109.687552,100.1659341,109.687552,100.1659341,110.4448332,97.85489177,126.908225,111.8687671,0.810088272,14,-0.029416227,1374,1362,1313.375,1.046159703,1.037022937,0,0.5,-2.422636097,86,245
66,Dayton,A10,22-12,110.3511445,72,98.48812958,66,0.787163543,66,22,12,12,6,6-Dec,0.52526973,0.489169891,0.537219348,0.52526973,0.489169891,0.537219348,0.852773314,0.850741918,104.4792057,103.540465,104.4792057,103.540465,111.758954,98.49609137,104.5032716,94.23360184,0.766665555,2,-0.082132078,1271,1119,1148.1375,1.107010267,0.974621942,0,0.666666667,-4.095694042,112,339
67,Utah,P12,17-15,107.2551063,125,95.72617287,34,0.787138384,67,17,15,10,10,10-Oct,0.639082655,0.468654004,0.726872834,0.639082655,0.468654004,0.726872834,0.737259418,0.853762915,106.9424506,100.4605113,106.9424506,100.4605113,106.6570374,94.08083101,111.83784,104.1701248,0.69355298,10,-0.061437153,1310,1295,1310.225,0.999828274,0.988379858,0,0.5,-3.282181249,100,305
68,Sam Houston St.,WAC,25-7,105.218559,158,93.98671618,16,0.785530515,68,25,7,14,4,14-4,0.479005349,0.408103434,0.514959911,0.479005349,0.408103434,0.514959911,0.849182672,0.816480911,105.3274303,103.1752488,105.3274303,103.1752488,103.6510624,93.89293745,98.46270405,94.58405281,0.613529529,5,0.047647644,1236,1123,1198.8,1.031031031,0.936770103,0,0.777777778,0.36281873,52,76
69,Arizona St.,P12,22-12,106.4635796,135,95.14148702,29,0.78466046,69,22.47166222,12.52833778,11,9,9-Nov,0.680705509,0.551596787,0.746117507,0.684205768,0.551596787,0.746117507,0.718592776,0.820099917,108.4948142,99.69048148,108.5443803,99.62903397,105.5213487,94.81185909,116.541574,97.11474844,0.890619082,12,0.086037694,1375,1385,1395.875,0.985045223,0.992209188,0,0.55,1.320931452,40,26
70,Oral Roberts,Sum,30-4,113.5298249,35,101.540604,112,0.783041298,70,30.31494533,4.685054669,18,0,18-0,0.363009306,0.438449851,0.305736757,0.377980815,0.438449851,0.305736757,0.865163506,0.765694932,104.1045271,106.9343277,104.3854807,106.5270102,111.8705729,100.1450987,103.5648142,103.2162448,0.509691531,4,0.083810569,1507,1202,1262.5625,1.193604277,0.952032078,0,1,1.983969995,31,28
71,Iona,MAAC,27-7,109.9970039,82,98.48774598,65,0.780912417,71,27.18187982,7.818120182,17,3,17-3,0.416817639,0.626442885,0.319992052,0.431802585,0.626442885,0.319992052,0.88536656,0.811783834,102.2954936,105.4518449,102.7959998,105.1283174,109.039675,98.87779817,98.67087835,97.55473588,0.53266011,1,-0.007469427,1533,1285,1369,1.119795471,0.938641344,0,0.85,-1.461911063,74,182
72,College of Charleston,CAA,31-3,110.3021709,76,98.80241966,68,0.780085964,72,31.21921044,3.78078956,16,2,16-2,0.380339994,0.440447342,0.330212843,0.39594906,0.440447342,0.330212843,0.900918078,0.895012421,102.1921696,106.9764258,102.509815,106.4955756,110.3655017,98.82159414,129.7470614,119.1388264,0.727290865,1,0.084335407,1491,1186,1289.725,1.1560604,0.919575879,0,0.888888889,1.777880143,35,27
73,Utah Valley,WAC,25-8,106.3551051,137,95.69398873,33,0.771133508,73,25,8,15,3,15-3,0.499081124,0.445697737,0.524772176,0.499081124,0.445697737,0.524772176,0.839842983,0.795663579,105.6810779,103.5562958,105.6810779,103.5562958,105.3178073,93.51538563,105.3180196,97.90785038,0.698257651,3,0.049938587,1372,1212,1305.575,1.050877966,0.928326599,0,0.833333333,-0.011845385,55,74
74,Florida,SEC,16-16,106.6638094,132,96.09603355,35,0.768496249,74,16,16,9,9,9-Sep,0.690441156,0.605695309,0.745291114,0.690441156,0.605695309,0.745291114,0.696164251,0.758891189,109.6315681,100.2774051,109.6315681,100.2774051,107.5692064,97.15844063,105.2241386,98.3701086,0.684513196,14,-0.023551449,1266,1258,1227.4375,1.031417078,1.024899435,0,0.5,-2.743819408,91,222
75,Wisconsin,B10,17-14,105.6142815,155,95.19177494,30,0.767607491,75,17,14,9,11,11-Sep,0.714255424,0.54727025,0.792631159,0.714255424,0.54727025,0.792631159,0.688677014,0.767134009,110.4705883,100.719444,110.4705883,100.719444,105.6078005,94.58714174,122.4144094,105.7194687,0.843719123,14,0.050764794,1271,1312,1288.7375,0.98623653,1.018050612,0,0.45,-0.554968341,63,72
76,BYU,WCC,19-15,108.8184428,100,98.09499267,60,0.767288227,76,19,15,7,9,9-Jul,0.588442494,0.478792826,0.671204318,0.588442494,0.478792826,0.671204318,0.771904818,0.827748114,108.4750025,102.1535192,108.4750025,102.1535192,107.8678423,93.96197521,116.4000916,100.3161931,0.846852007,8,-0.065819458,1195,1117,1123.825,1.063332814,0.99392699,0,0.4375,-4.144317753,113,313
77,Santa Clara,WCC,23-9,111.1499817,62,100.2296914,88,0.766613003,77,23,9,11,5,5-Nov,0.591975096,0.51336862,0.659256737,0.591975096,0.51336862,0.659256737,0.792544699,0.853495605,108.7021441,103.1543676,108.7021441,103.1543676,114.0460902,100.2356539,126.4582045,118.4758882,0.679141106,5,0.076894793,1290,1228,1152.4875,1.119317997,1.065521318,0,0.6875,0.572407135,50,33
78,Vanderbilt,SEC,20-14,115.6445584,21,104.329347,170,0.765691259,78,20,14,11,7,7-Nov,0.698628059,0.581206041,0.771626382,0.698628059,0.581206041,0.771626382,0.696438842,0.79937349,109.1485511,99.30415751,109.1485511,99.30415751,118.9969933,106.4073863,125.295024,114.7242884,0.733724669,16,0.069665625,1325,1366,1209.2625,1.095709162,1.129614124,0,0.611111111,0.116576028,54,39
79,Kent St.,MAC,28-6,107.7497256,115,97.25188515,45,0.764737078,79,28.35664547,6.643354527,15,3,15-3,0.443621857,0.467517756,0.403196887,0.455355694,0.467517756,0.403196887,0.851067265,0.791749919,106.1310656,106.8486239,106.3572443,106.5623191,106.3452967,100.5983125,97.57655346,80.75500913,0.898073346,3,0.080461178,1385,1235,1243.0375,1.114206128,0.993533984,0,0.833333333,1.099829242,42,32
80,Stanford,P12,14-19,114.614384,26,103.7821307,162,0.757994252,80,14,19,7,13,13-Jul,0.661463786,0.527497044,0.715572859,0.661463786,0.527497044,0.715572859,0.721150122,0.798605415,106.9413679,99.25909238,106.9413679,99.25909238,115.9715294,106.415485,126.2990551,114.9944867,0.74617899,13,-0.115953911,1404,1417,1302.6125,1.077833968,1.087813912,0,0.35,-6.209026659,146,359
81,Virginia Tech,ACC,19-14,113.7907739,31,103.2452404,148,0.75369638,81,19,14,8,12,12-Aug,0.614256578,0.460172877,0.691937482,0.614256578,0.460172877,0.691937482,0.782779366,0.856356352,107.7159487,102.7014478,107.7159487,102.7014478,112.8010828,103.4062589,125.8036197,114.3526593,0.749791731,9,-0.02659384,1470,1465,1349.0375,1.08966578,1.085959434,0,0.4,-3.433779715,104,232
82,Yale,Ivy,21-8,108.8239657,99,98.87701685,69,0.750696373,82,21,8,10,4,4-Oct,0.447259947,0.413596991,0.455254325,0.447259947,0.413596991,0.455254325,0.869856055,0.855611351,103.7102848,104.675706,103.7102848,104.675706,108.3182218,101.0877417,102.4888164,99.39915356,0.587106366,2,-0.007998805,1071,957,968.2375,1.106133567,0.98839386,0,0.714285714,-2.088159526,81,186
83,Hofstra,CAA,24-9,109.2725611,94,99.7018899,81,0.741561035,83,24,9,16,2,16-2,0.424950638,0.602359408,0.304538775,0.424950638,0.602359408,0.304538775,0.86145455,0.756758917,102.8050305,105.2855788,102.8050305,105.2855788,108.3929288,97.93948923,106.7397727,105.6239451,0.53017592,3,-0.006398298,1359,1098,1201.1875,1.131380405,0.914095426,0,0.888888889,-2.280725723,84,181
84,Wichita St.,Amer,17-15,108.7202528,102,99.20599245,73,0.741382445,84,17,15,9,9,9-Sep,0.585947649,0.504522991,0.653780106,0.585947649,0.504522991,0.653780106,0.782421726,0.838829685,106.5115705,102.2326002,106.5115705,102.2326002,110.5497751,101.1514592,116.1431728,104.1304084,0.778261846,7,-0.077148855,1322,1322,1253.2125,1.054888935,1.054888935,0,0.5,-5.081428763,122,330
85,Pittsburgh,ACC,22-11,113.8893693,29,103.9423248,163,0.740966995,85,22.40955386,11.59044614,14,6,14-6,0.589468298,0.475168618,0.640281398,0.595802699,0.475168618,0.640281398,0.778027596,0.815994531,107.7403586,103.7306105,107.6337111,103.3869465,113.9530992,101.7089029,124.8191591,113.6089399,0.746908817,8,0.068321295,1521,1414,1347.2125,1.128997838,1.049574585,0,0.7,-0.519432381,62,43
86,Bradley,MVC,25-9,106.9168614,130,97.58966178,51,0.740721068,86,25,9,16,4,16-4,0.481550647,0.475752298,0.45879606,0.481550647,0.475752298,0.45879606,0.839203324,0.791319972,104.1087147,103.9284037,104.1087147,103.9284037,108.0056008,95.61647321,102.212539,115.6000014,0.195377682,6,0.044242094,1443,1221,1309.5875,1.101873682,0.932354654,0,0.8,-0.910691834,65,85
87,Toledo,MAC,27-7,119.9584218,5,109.6032609,285,0.738502125,87,27,7,16,2,16-2,0.419410123,0.438157336,0.386040228,0.419410123,0.438157336,0.386040228,0.889372197,0.874389384,103.6886103,106.6476178,103.6886103,106.6476178,120.2377768,108.709277,0,0,0,0,0.041263793,1553,1325,1241.55,1.250855785,1.067214369,0,0.888888889,-0.950936483,67,92
88,Louisiana Lafayette,SB,26-7,112.4343011,46,102.845584,141,0.735967623,88,26.14690665,7.853093347,13,5,13-5,0.450253916,0.37788729,0.482131328,0.464711603,0.37788729,0.482131328,0.852785551,0.854537382,103.9056277,103.7832424,104.1791889,103.2812102,113.8831166,103.7895717,101.2403504,105.3926015,0.38645386,2,0.064122449,1372,1264,1220.4375,1.124187023,1.035694167,0,0.722222222,-0.311314338,59,47
89,Wake Forest,ACC,19-14,111.9860851,54,102.5040969,132,0.73447098,89,19,14,10,10,10-Oct,0.620278491,0.483928513,0.686625181,0.620278491,0.483928513,0.686625181,0.778500992,0.854376592,107.6655962,102.4308369,107.6655962,102.4308369,113.8002662,102.3684581,118.1480171,110.2552575,0.688927541,8,-0.004061576,1535,1514,1400.3875,1.09612518,1.08112933,0,0.5,-3.300860421,101,177
90,St. John's,BE,18-15,107.645282,121,98.56491058,67,0.733694747,90,18,15,7,13,13-Jul,0.630545382,0.382299402,0.755590879,0.630545382,0.382299402,0.755590879,0.732552797,0.888070176,107.5993303,101.1760478,107.5993303,101.1760478,107.5748055,99.06199535,113.5621693,106.0755168,0.68660407,13,7.58E-05,1521,1602,1500.95,1.013358206,1.067324028,0,0.35,-2.898084673,93,169
91,Marshall,SB,24-8,110.0910201,80,101.0793604,103,0.727528178,91,24,8,13,5,13-5,0.433538303,0.407703449,0.450975091,0.433538303,0.407703449,0.450975091,0.896851239,0.902233842,103.4366164,105.7315519,103.4366164,105.7315519,108.6131523,101.461121,0,0,0,0,0.002180818,1461,1307,1331.95,1.096888021,0.981268066,0,0.722222222,-2.533010454,88,165
92,South Alabama,SB,19-16,108.5185666,105,99.72784728,83,0.725413956,92,19,16,9,9,9-Sep,0.489088017,0.465622761,0.470609229,0.489088017,0.465622761,0.470609229,0.840775688,0.782690675,104.3090452,103.4422014,104.3090452,103.4422014,106.1643556,98.03874406,106.4530612,103.072624,0.59172685,5,-0.132151206,1253,1153,1188.05,1.054669416,0.970497875,0,0.5,-7.650877515,168,362
93,Indiana St.,MVC,22-12,110.4018707,71,101.4901601,111,0.724700752,93,22,12,13,7,13-7,0.403837873,0.324847253,0.43424075,0.403837873,0.324847253,0.43424075,0.899511096,0.932529225,101.8985846,105.6596525,101.8985846,105.6596525,108.7007378,99.03452191,100.6938493,96.59957413,0.617126512,1,-0.112026295,1529,1342,1392.975,1.097650712,0.963405661,0,0.65,-6.434056082,148,357
94,UNLV,MWC,19-13,107.6836257,119,99.21919516,74,0.719394369,94,19,13,7,11,11-Jul,0.623710044,0.443742149,0.739406245,0.623710044,0.443742149,0.739406245,0.777605791,0.895454325,107.7754169,101.3438569,107.7754169,101.3438569,107.7203443,100.5860866,114.1680075,104.6257027,0.731793562,7,0.026655531,1284,1332,1256.3125,1.022038705,1.060245759,0,0.388888889,-2.646298342,90,126
95,Furman,SC,27-7,113.8212729,30,104.9648977,181,0.717387547,95,27.29826089,7.701739114,15,3,15-3,0.377099834,0.370457468,0.37701666,0.390799136,0.370457468,0.37701666,0.898480595,0.8887546,103.5453975,107.416417,103.7641967,107.0170282,115.0246875,103.9318209,99.66213169,106.2798258,0.323150334,2,0.021248597,1473,1256,1236.875,1.190904497,1.015462355,0,0.833333333,-1.872863908,79,137
96,UC Irvine,BW,23-11,107.2240529,126,99.27709591,76,0.707974232,96,23,11,15,5,15-5,0.453530417,0.466183643,0.446879255,0.453530417,0.466183643,0.446879255,0.868800121,0.821078949,103.1261581,103.5538715,103.1261581,103.5538715,106.2699218,99.74684431,109.7486094,81.08628091,0.970136618,2,-0.026154264,1472,1351,1386.725,1.061493807,0.974237863,0,0.75,-4.14604415,114,231
97,San Jose St.,MWC,20-13,109.7791344,86,102.1300026,121,0.696476565,97,20,13,10,8,8-Oct,0.631945691,0.453422085,0.734991603,0.631945691,0.453422085,0.734991603,0.749465582,0.843475062,107.9998093,101.026586,107.9998093,101.026586,109.5870469,100.7734818,111.1477344,110.2738873,0.522677098,9,0.087507012,1204,1217,1147.0625,1.049637661,1.060970958,0,0.555555556,-1.30370059,72,25
98,San Francisco,WCC,20-14,109.8904444,83,102.3137915,124,0.694565998,98,20,14,7,9,9-Jul,0.580836589,0.45060828,0.673303182,0.580836589,0.45060828,0.673303182,0.776363201,0.854873851,108.0856325,103.3194545,108.0856325,103.3194545,110.3369705,105.1112561,118.4151199,111.4010189,0.668672999,6,0.026899363,1211,1262,1119.9125,1.081334479,1.126873751,0,0.4375,-3.174250394,99,125
99,Vermont,AE,23-10,110.3485946,73,102.7688374,139,0.693889295,99,23.17966031,10.82033969,14,2,14-2,0.420634187,0.584778755,0.301731571,0.435083083,0.584778755,0.301731571,0.861357489,0.777822343,103.2605697,105.8935737,103.7391156,105.6288828,111.5302367,104.1495886,97.81991496,93.29052656,0.63302371,2,-0.012668064,1224,1051,1051.7125,1.163816157,0.999322533,0,0.875,-3.659002907,108,196
100,Montana St.,BSky,25-9,105.5885761,156,98.40026491,62,0.692285686,100,25.23211416,9.76788584,15,3,15-3,0.434390063,0.495181923,0.395458541,0.447166204,0.495181923,0.395458541,0.868748007,0.810129295,105.6328565,106.8639845,105.8133027,106.465556,105.2094854,97.5904871,89.72299564,96.3872894,0.304927251,2,0.031494286,1284,1158,1185.1625,1.083395737,0.977081202,0,0.833333333,-2.559299785,89,116
101,Saint Louis,A10,21-12,111.0319588,63,103.5018946,153,0.691602925,101,21,12,12,6,6-Dec,0.55851455,0.557094169,0.548550146,0.55851455,0.557094169,0.548550146,0.81943878,0.78713168,105.2217388,101.8405317,105.2217388,101.8405317,109.5240641,102.6206224,119.3593171,116.8662933,0.560389053,6,0.035978923,1341,1281,1249.2625,1.073433326,1.025404989,0,0.666666667,-3.010449062,96,104
102,Tulane,Amer,20-11,109.593408,91,102.4786683,130,0.683933808,102,20,11,12,6,6-Dec,0.568152121,0.358373467,0.668202798,0.568152121,0.358373467,0.668202798,0.788756769,0.927053367,105.91325,102.3207224,105.91325,102.3207224,111.094496,102.3481646,113.4943545,109.0856621,0.611975973,6,0.070047779,1477,1454,1381.2375,1.069330944,1.05267921,0,0.666666667,-1.706716315,75,37
103,Nebraska,B10,16-16,106.0166567,145,99.29910021,77,0.679785597,103,16,16,9,11,11-Sep,0.701985001,0.550078309,0.799996391,0.701985001,0.550078309,0.799996391,0.68165145,0.756059244,109.8692659,99.99463153,109.8692659,99.99463153,105.3011981,98.63267529,110.1825416,104.7630404,0.641074377,16,0.072907674,1340,1447,1362.4875,0.983495261,1.062028092,0,0.45,-2.15281839,83,35
104,Temple,Amer,16-16,107.7633736,114,100.9706744,102,0.678903814,104,16,16,10,8,8-Oct,0.631951817,0.558308763,0.673996391,0.631951817,0.558308763,0.673996391,0.767718819,0.847026064,106.9887524,100.6850559,106.9887524,100.6850559,107.4563269,98.04473309,119.6620387,103.6333936,0.839408807,8,-0.018971534,1269,1258,1234.925,1.027592769,1.018685345,0,0.555555556,-5.308187742,124,210
105,Southern Miss,SB,25-7,107.1854484,127,100.4346814,93,0.678766422,105,25,7,14,4,14-4,0.441468859,0.335442617,0.502268639,0.441468859,0.335442617,0.502268639,0.869581812,0.880930323,104.2496564,104.895469,104.2496564,104.895469,106.4987015,101.6316326,131.6925015,98.54118875,0.965608302,1,0.099676208,1287,1227,1219.65,1.05522076,1.006026319,0,0.777777778,-0.515236821,61,17
106,Colorado St.,MWC,15-18,111.694735,57,104.8026543,179,0.675340578,106,15,18,6,12,12-Jun,0.643741497,0.505406818,0.730463928,0.643741497,0.505406818,0.730463928,0.741524561,0.800584996,108.1088633,100.5364032,108.1088633,100.5364032,112.5909924,107.1638324,109.8818283,107.6742908,0.55808372,12,-0.037582199,1272,1345,1190.5125,1.068447412,1.129765542,0,0.333333333,-5.997838063,141,260
107,UNC Greensboro,SC,20-12,103.5768783,193,97.66450171,53,0.662828291,107,20,12,14,4,14-4,0.42541993,0.489791757,0.383002619,0.42541993,0.489791757,0.383002619,0.878603243,0.826495402,104.9718668,106.9432296,104.9718668,106.9432296,104.7094058,95.65025537,98.91864538,89.39586921,0.76207104,2,-0.062783358,1327,1142,1207.4125,1.099044444,0.945824232,0,0.777777778,-5.979171146,140,308
108,Akron,MAC,22-11,109.2611734,95,103.0604286,144,0.66192722,108,22,11,13,5,13-5,0.440530694,0.420521469,0.435854798,0.440530694,0.420521469,0.435854798,0.875783386,0.869826738,104.7842475,106.1874235,104.7842475,106.1874235,109.5571385,102.2552263,0,0,0,0,-0.010634814,1387,1239,1208.075,1.148107526,1.025598576,0,0.722222222,-4.550166429,118,190
109,Colgate,Pat,26-8,112.5432923,45,106.2047503,206,0.660751511,109,26.12584931,8.874150695,17,1,17-1,0.334587629,0.449375944,0.270307314,0.351632859,0.449375944,0.270307314,0.903385664,0.856436831,100.4601725,107.1493496,100.9131312,106.7148843,110.3607772,104.3037858,111.0629115,121.7529801,0.257917545,1,0.000551448,1380,1172,1201.7625,1.148313415,0.975234291,0,0.944444444,-3.512144234,106,168
110,Princeton,Ivy,21-8,108.8313976,98,103.0163884,143,0.652826231,110,21.12857822,8.871421782,10,4,4-Oct,0.421945724,0.340928376,0.469078828,0.43878893,0.340928376,0.469078828,0.882058961,0.92073107,102.7721687,104.8856399,103.4035033,104.5874526,106.5206372,102.0641745,0,0,0,0,0.029421815,1061,1008,997.875,1.063259426,1.010146561,0,0.714285714,-3.120772283,97,119
111,Washington,P12,16-16,104.4764968,169,98.94599254,70,0.65145968,111,16,16,8,12,12-Aug,0.66556401,0.532389115,0.732655439,0.66556401,0.532389115,0.732655439,0.719916327,0.807816316,107.7814399,99.39257177,107.7814399,99.39257177,103.5398759,97.82099176,109.5057649,103.3537548,0.660365889,12,0.042859862,1367,1446,1415.8125,0.96552333,1.021321679,0,0.4,-3.710550905,109,88
112,Duquesne,A10,20-12,108.0416123,111,102.4366103,128,0.648540789,112,20,12,10,8,8-Oct,0.486131579,0.452103243,0.514773073,0.486131579,0.452103243,0.514773073,0.877637126,0.89029556,104.6871369,105.3073163,104.6871369,105.3073163,106.9436245,100.9246381,86.00342458,95.13738938,0.238530715,2,-0.02895451,1329,1266,1262.275,1.052860906,1.002951021,0,0.555555556,-5.752856225,132,242
113,Cal St. Fullerton,BW,20-13,104.3996962,172,98.99925086,71,0.648127046,113,20,13,12,6,6-Dec,0.485696746,0.483835878,0.461665696,0.485696746,0.483835878,0.461665696,0.856545579,0.822225581,104.2759323,103.4111649,104.2759323,103.4111649,104.6722541,96.47587161,87.07103281,95.8322063,0.249261021,2,-0.016995628,1244,1129,1196.625,1.039590515,0.94348689,0,0.666666667,-5.676021761,130,205
114,Mississippi,SEC,21-Dec,106.5945268,133,101.1786799,105,0.645577877,114,12,21,3,15,15-Mar,0.669880155,0.562466623,0.747008849,0.669880155,0.562466623,0.747008849,0.715551802,0.802123828,108.6677135,100.2393297,108.6677135,100.2393297,106.4487133,101.0850273,111.1160337,105.1822976,0.652743352,13,-0.081492737,1205,1304,1211.125,0.994942719,1.0766849,0,0.166666667,-8.115202971,175,336
115,James Madison,SB,22-11,105.6174009,154,100.3937559,92,0.641830048,115,22,11,12,6,6-Dec,0.433084104,0.327802772,0.487019468,0.433084104,0.327802772,0.487019468,0.87133615,0.880659943,103.1228981,104.5974686,103.1228981,104.5974686,102.7910138,99.24242161,90.20191685,91.44426456,0.460753836,2,0.006775901,1306,1233,1267.5625,1.030323949,0.9727331,0,0.666666667,-4.422452945,116,157
116,Kennesaw St.,ASun,26-8,106.3939943,136,101.4141995,110,0.634428839,116,26.18222038,8.817779623,15,3,15-3,0.430510104,0.446719101,0.404335305,0.443530219,0.446719101,0.404335305,0.857851019,0.798937064,104.7705071,105.5700891,105.2209567,105.3867107,107.077383,101.3926131,98.499961,95.59267759,0.585292723,3,0.106979587,1413,1280,1276.5125,1.106922181,1.002732053,0,0.833333333,-1.203940334,69,15
117,Southern Utah,WAC,22-12,109.711122,88,104.6520357,176,0.632489851,117,22,12,12,6,6-Dec,0.515527598,0.415166267,0.564673866,0.515527598,0.415166267,0.564673866,0.8378962,0.835659621,105.8166954,102.1855348,105.8166954,102.1855348,109.4654173,102.8307839,107.4606907,100.0090738,0.695601285,5,0.062606405,1404,1333,1303.65,1.076976182,1.022513712,0,0.666666667,-3.629410456,107,50
118,Grand Canyon,WAC,24-11,111.9680504,55,106.8782327,224,0.630652955,118,24.1103646,11.8896354,10,7,7-Oct,0.494787717,0.423871516,0.533786134,0.506939912,0.423871516,0.533786134,0.851788854,0.880355566,104.4253219,102.7318542,105.0548436,102.639193,110.7603849,108.1529491,98.95339268,91.31994882,0.715697039,3,0.069198976,1267,1220,1148.1375,1.103526363,1.0625905,0,0.588235294,-3.482717828,105,41
119,UC Santa Barbara,BW,27-7,110.981206,64,106.1139888,204,0.626151187,119,27.14359935,7.856400646,15,5,15-5,0.429265748,0.371362558,0.45494183,0.44297236,0.371362558,0.45494183,0.884211256,0.909814531,102.3034206,104.3110665,102.9337334,104.2039463,112.2681933,106.6440995,0,0,0,0,0.129924802,1431,1317,1280.1,1.117881416,1.028825873,0,0.75,-1.135207515,68,5
120,Penn,Ivy,17-13,109.862833,85,105.3181239,192,0.619126327,120,17,13,9,5,5-Sep,0.484432431,0.478830139,0.473810261,0.484432431,0.478830139,0.473810261,0.846848312,0.82650186,104.4033368,104.750601,104.4033368,104.750601,109.7196554,102.5413144,101.7388733,109.1618636,0.307921079,4,-0.036288662,1066,1008,985.275,1.08193144,1.023064627,0,0.642857143,-6.071559472,142,256
121,Charlotte,CUSA,18-14,107.0757789,128,102.7366149,138,0.616740145,121,18,14,9,11,11-Sep,0.490841378,0.36353225,0.55580884,0.490841378,0.36353225,0.55580884,0.854248006,0.907511454,104.1633707,104.458612,104.1633707,104.458612,106.4737176,102.9764729,118.2772977,114.6450816,0.588724132,4,-0.038003276,1313,1303,1252.3375,1.048439418,1.04045435,0,0.45,-6.821978413,152,263
122,UMass Lowell,AE,26-8,107.9504104,112,103.6221683,157,0.615522853,122,26,8,11,5,5-Nov,0.284167091,0.234291542,0.31137377,0.284167091,0.234291542,0.31137377,0.927580127,0.929598027,98.79552285,107.8357752,98.79552285,107.8357752,108.5721255,106.6007667,102.6655512,101.654573,0.528420627,1,-0.007471479,1234,1122,1092.9125,1.129093134,1.026614665,0,0.6875,-4.05824568,111,183
123,Loyola Marymount,WCC,19-12,108.4357248,106,104.1053763,165,0.615069094,123,19,12,9,7,7-Sep,0.58705169,0.492551668,0.658474426,0.58705169,0.492551668,0.658474426,0.785391962,0.851238358,108.8748775,103.5550922,108.8748775,103.5550922,108.6247894,103.8534934,106.6599672,101.6451446,0.635021041,5,0.107384437,1206,1222,1116.7375,1.079931497,1.094258946,0,0.5625,-2.426451724,87,13
124,Belmont,MVC,21-11,110.7902426,66,106.3835215,215,0.614617121,124,21,11,14,6,14-6,0.466458409,0.475578459,0.448530265,0.466458409,0.475578459,0.448530265,0.87623848,0.883882947,103.6685896,104.4921117,103.6685896,104.4921117,108.8516054,104.6387511,81.57475654,90.64774967,0.229205216,1,0.034793194,1506,1407,1377.0625,1.093632279,1.021740117,0,0.7,-4.635668972,119,108
125,Towson,CAA,21-12,108.1400908,109,104.3500852,171,0.60115378,125,21,12,12,6,6-Dec,0.412992651,0.433398064,0.38069575,0.412992651,0.433398064,0.38069575,0.881689793,0.868766113,101.7161151,106.0405223,101.7161151,106.0405223,107.6132934,103.9544015,119.2913825,106.5046254,0.786486885,2,-0.01081343,1313,1193,1191.5125,1.101960743,1.001248413,0,0.666666667,-5.847567866,135,191
126,Fresno St.,MWC,20-Nov,103.8717115,185,100.3395863,90,0.598172775,126,11,20,6,12,12-Jun,0.633149428,0.479473778,0.733255909,0.633149428,0.479473778,0.733255909,0.770245969,0.848415815,108.8718965,102.1771884,108.8718965,102.1771884,102.9015373,99.02489604,99.39377666,95.54831279,0.611533104,7,-0.087732209,1124,1218,1145.375,0.98133799,1.063407181,0,0.333333333,-9.514143355,202,344
127,Tarleton St.,WAC,17-16,104.0999186,178,100.5947784,96,0.597217508,127,17,16,8,9,9-Aug,0.51408433,0.467192138,0.549558383,0.51408433,0.467192138,0.549558383,0.82972441,0.80199841,106.2608106,102.5650289,106.2608106,102.5650289,102.8080325,99.86675681,103.022628,106.0794858,0.416718181,5,-0.034414255,1153,1174,1154.45,0.998743991,1.016934471,0,0.470588235,-7.518863114,164,252
128,Middle Tennessee,CUSA,19-14,105.7719017,152,102.4069868,127,0.591892541,128,19,14,11,9,9-Nov,0.534621994,0.454794635,0.558245909,0.534621994,0.454794635,0.558245909,0.835195939,0.8772577,106.3549041,103.2971654,106.3549041,103.2971654,105.1161415,100.9606321,106.3868792,109.6457104,0.414115163,4,0.042319463,1399,1370,1341.8875,1.042561318,1.020949968,0,0.55,-5.61278685,129,90
129,Davidson,A10,16-16,107.3819822,124,104.1130329,166,0.587956798,129,16,16,8,10,10-Aug,0.523781129,0.439575116,0.567582369,0.523781129,0.439575116,0.567582369,0.840747407,0.857418869,104.7548104,102.9621702,104.7548104,102.9621702,107.8607882,102.4194087,106.2322418,105.6867753,0.514795858,4,-0.048722024,1228,1207,1170.4125,1.049202738,1.031260346,0,0.444444444,-8.206329377,178,286
130,Eastern Washington,BSky,22-10,110.7303446,67,107.4888995,242,0.584595853,130,22,10,16,2,16-2,0.438154466,0.483844361,0.407223033,0.438154466,0.483844361,0.407223033,0.880941072,0.834874325,103.932789,105.8754212,103.932789,105.8754212,114.5213889,108.2379089,108.3067434,97.69036285,0.766095119,1,0.070716692,1444,1304,1222.3375,1.181343123,1.066808471,0,0.888888889,-3.916374937,110,36
